model,patch_size,image_pair,similarity
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_1.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg')",0.7338088
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg')",0.83532137
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_1.jpg')",0.79461205
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg')",0.9498369
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg')",0.83214635
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_1.jpg')",0.788013
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg')",0.91300356
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg')",0.768118
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_1.jpg')",0.77665555
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_2.jpg')",0.8055913
ViT-L/14,224,"('C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg', 'C:\\Users\\Lenovo\\Desktop\\comp-vison-chap1\\TP1\\TP1_data\\database\\airplane_3.jpg')",0.9389992
